disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_ratror,st_teff,sy_dist
2011,1,0,0,1,0,0,0,0,0,0,1.9000769,,,,,,,0.1579,5440,764.889
2011,1,0,0,1,0,0,0,0,0,0,3.89712026,,13.493,,,1103.81,1470,,6090,790.663
2011,1,0,0,1,0,0,0,0,0,0,3.89713,0.0518,14.46,352.78,0.047,,2000,0.0786,6090,790.663
2011,1,0,0,1,0,0,0,0,0,0,3.89713,0.0512,13.339,346.4347,,,1630,,6090,790.663
2011,1,0,0,1,0,0,0,0,0,0,3.89713,0.05166,14.46,367.09365,0.056,,,,6090,790.663
2011,1,0,0,1,0,0,0,0,0,0,3.897131,,,,,,,0.08,6090,790.663
2008,1,0,0,1,0,0,0,0,0,0,1.7429935,0.02798,16.432,1102.82,0.0143,,,,5625,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.7429975,,15.85,1052.0173,0,,1535,0.161,5625,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.74301433,,16.923,,,932.91,1410,,5529,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.74299609,,16.533,,,,,0.1682,5575,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.7429935,0.02835,16.365,1134.6531,,,1521,,5598,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.74299673,,,,,,,0.1639,5529,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.7429964,0.0281,16.421,1051.973,0,,,,,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.74299906,,,,,,,,,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.742997,,,,,,,,5696,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.7429935,0.02854,16.477,1150.5446,,,1548,,5696,213.283
2008,1,0,0,1,0,0,0,0,0,0,1.74299673,0.0281,16.432,1048.839,0.024,,,,5625,213.283
2011,1,0,0,1,0,0,0,0,0,0,9.24285,0.0901,9.416,1344.4209,0.575,,,,5880,844.061
